Standard,D-Type,Tri-State   Non-Inverted,1,8,160MHz,10ns @ 5V   50pF,Positive Edge,24mA   24mA,4.5 V ~ 5.5 V,40µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,110MHz,11ns @ 5V   50pF,Positive Edge,24mA   24mA,4.5 V ~ 5.5 V,40µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,210MHz,7.5ns @ 5V   50pF,Positive Edge,24mA   24mA,4.5 V ~ 5.5 V,2µA,3pF,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,85MHz,9.5ns @ 5V   50pF,Positive Edge,24mA   24mA,4.5 V ~ 5.5 V,4µA,10pF,-55°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,210MHz,11ns @ 5V   50pF,Positive Edge,24mA   24mA,4.5 V ~ 5.5 V,20µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,120MHz,10.1ns @ 5V   50pF,Positive Edge,8mA   8mA,2 V ~ 5.5 V,4µA,4pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,35MHz,14ns @ 5V   50pF,Positive Edge,2.6mA   24mA,4.5 V ~ 5.5 V,18mA,-,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Set(Preset) and Reset,JK Type,Differential,2,1,105MHz,9ns @ 5V   50pF,Positive Edge,2mA   20mA,4.5 V ~ 5.5 V,17mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Non-Inverted,1,8,160MHz,9ns @ 5V   50pF,Positive Edge,1mA   20mA,4.5 V ~ 5.5 V,44mA,-,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,145MHz,8ns @ 5V   50pF,Positive Edge,1mA   20mA,4.5 V ~ 5.5 V,16mA,-,0°C ~ 70°C (TA),Surface Mount,14-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Tri-State   Non-Inverted,1,9,160MHz,9.5ns @ 5V   50pF,Positive Edge,3mA   24mA,4.5 V ~ 5.5 V,100mA,-,0°C ~ 70°C (TA),Through Hole,24-DIP (0.300"   7.62mm)
Reset,JK Type,Differential,2,1,60MHz,29ns @ 6V   50pF,Negative Edge,5.2mA   5.2mA,2 V ~ 6 V,4µA,10pF,-55°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Tri-State   Non-Inverted,1,4,95MHz,30ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,4µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Non-Inverted,1,6,50MHz,14ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Differential,1,4,60MHz,26ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Differential,1,4,60MHz,26ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Non-Inverted,1,8,60MHz,27ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Non-Inverted,1,8,83MHz,27ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Inverted,1,8,60MHz,28ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,10pF,-55°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Inverted,1,8,137MHz,28ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,40MHz,31ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SSOP (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,133MHz,26ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Master Reset,D-Type,Differential,1,4,49MHz,33ns @ 4.5V   50pF,Positive Edge,4mA   4mA,4.5 V ~ 5.5 V,8µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Non-Inverted,1,8,36MHz,30ns @ 4.5V   50pF,Positive Edge,4mA   5.2mA,4.5 V ~ 5.5 V,8µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,40MHz,41ns @ 5.5V   150pF,Positive Edge,6mA   6mA,4.5 V ~ 5.5 V,8µA,3pF,-40°C ~ 85°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Standard,D-Type,Tri-State   Non-Inverted,1,8,150MHz,8.5ns @ 3.3V   50pF,Positive Edge,24mA   24mA,2 V ~ 3.6 V,10µA,7pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,150MHz,8.5ns @ 3.3V   50pF,Positive Edge,24mA   24mA,2 V ~ 3.6 V,10µA,7pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,150MHz,7ns @ 3.3V   50pF,Positive Edge,24mA   24mA,2 V ~ 3.6 V,10µA,7pF,-40°C ~ 85°C (TA),Surface Mount,14-TSSOP (0.173"   4.40mm Width)
Master Reset,D-Type,Tri-State   Non-Inverted,1,4,50MHz,30ns @ 5V   45pF,Positive Edge,2.6mA   24mA,4.75 V ~ 5.25 V,24mA,-,0°C ~ 70°C (TA),Through Hole,16-DIP (0.300"   7.62mm)
Set(Preset) and Reset,D-Type,Differential,2,1,110MHz,17ns @ 5V   50pF,Positive Edge,12mA   12mA,1 V ~ 5.5 V,80µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,14-TSSOP (0.173"   4.40mm Width)
Reset,D-Type,Non-Inverted,1,1,200MHz,4ns @ 5V   50pF,Positive Edge,32mA   32mA,1.65 V ~ 5.5 V,40µA,2.5pF,-40°C ~ 125°C (TA),Surface Mount,6-TSSOP   SC-88   SOT-363
Set(Preset) and Reset,D-Type,Differential,1,1,200MHz,6.4ns @ 5V   50pF,Positive Edge,32mA   32mA,1.65 V ~ 5.5 V,10µA,5pF,-40°C ~ 125°C (TA),Surface Mount,8-VFSOP (0.091"   2.30mm Width)
Set(Preset) and Reset,D-Type,Differential,1,1,200MHz,4.1ns @ 5V   50pF,Positive Edge,32mA   32mA,1.65 V ~ 5.5 V,40µA,4pF,-40°C ~ 125°C (TA),Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,150MHz,6.8ns @ 3.3V   50pF,Positive Edge,24mA   24mA,1.65 V ~ 3.6 V,10µA,4pF,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,2,8,150MHz,5.3ns @ 3.3V   50pF,Positive Edge,12mA   12mA,2.7 V ~ 3.6 V,120µA,3pF,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,160MHz,4.9ns @ 3.3V   50pF,Positive Edge,32mA   64mA,2.7 V ~ 3.6 V,190µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Master Reset,D-Type,Non-Inverted,1,8,90MHz,14.5ns @ 3.3V   50pF,Positive Edge,4mA   4mA,2 V ~ 3.6 V,4µA,4pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,115MHz,10.6ns @ 5V   50pF,Positive Edge,8mA   8mA,2 V ~ 5.5 V,4µA,4pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,50MHz,30ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,4µA,10pF,-55°C ~ 125°C (TA),Through Hole,14-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,6,25MHz,40ns @ 4.5V   50pF,Positive Edge,4mA   4mA,4.5 V ~ 5.5 V,8µA,10pF,-55°C ~ 125°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Differential,1,4,50MHz,17ns @ 5V   50pF,Positive Edge,400µA   8mA,4.5 V ~ 5.5 V,14mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width)
Standard,D-Type,Differential,1,1,3GHz,-,Negative Edge,-,-2.25 V ~ -5.5 V,-,-,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width)
Set(Preset) and Reset,D-Type,Differential,1,4,3GHz,-,Positive   Negative,-,-3 V ~ -5.5 V,120mA,-,-40°C ~ 85°C (TA),Surface Mount,32-LQFP
Set(Preset) and Reset,D-Type,Differential,1,1,3GHz,-,Positive Edge,-,-3 V ~ -5.5 V,45mA,-,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,250MHz,-,Positive Edge,-,-4.9 V ~ -5.46 V,56mA,-,0°C ~ 75°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,35MHz,17ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,2µA,10pF,-55°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Non-Inverted,1,8,78MHz,23ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,7pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,94MHz,19ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,4µA,5pF,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Set(Preset) and Reset,D-Type,Differential,1,1,200MHz,5ns @ 5V   50pF,Positive Edge,32mA   32mA,1.65 V ~ 5.5 V,1µA,7pF,-55°C ~ 125°C (TA),Surface Mount,8-VFSOP (0.091"   2.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,200MHz,6.6ns @ 5V   50pF,Positive Edge,32mA   64mA,4.5 V ~ 5.5 V,250µA,3.5pF,-40°C ~ 85°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,8,110MHz,11ns @ 5V   50pF,Positive Edge,8mA   8mA,2 V ~ 5.5 V,4µA,2.5pF,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,115MHz,10.6ns @ 5V   50pF,Positive Edge,8mA   8mA,2 V ~ 5.5 V,4µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Master Reset,D-Type,Non-Inverted,1,8,35MHz,15ns @ 5V   50pF,Positive Edge,2.6mA   24mA,4.5 V ~ 5.5 V,20mA,-,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Set(Preset) and Reset,JK Type,Differential,2,1,60MHz,30ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,4µA,3pF,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Differential,1,4,60MHz,26ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Non-Inverted,1,8,60MHz,27ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,70MHz,15ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,70MHz,31ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,40MHz,25ns @ 5.5V   50pF,Positive Edge,6mA   6mA,4.5 V ~ 5.5 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,40MHz,41ns @ 5.5V   150pF,Positive Edge,6mA   6mA,4.5 V ~ 5.5 V,8µA,3pF,-40°C ~ 85°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Standard,D-Type,Tri-State   Non-Inverted,1,8,40MHz,47ns @ 5.5V   150pF,Positive Edge,6mA   6mA,4.5 V ~ 5.5 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Master Reset,JK Type,Differential,2,1,45MHz,20ns @ 5V   15pF,Negative Edge,400µA   8mA,4.75 V ~ 5.25 V,6mA,-,0°C ~ 70°C (TA),Through Hole,14-DIP (0.300"   7.62mm)
Master Reset,D-Type,Tri-State   Non-Inverted,1,4,50MHz,25ns @ 5V   45pF,Positive Edge,2.6mA   24mA,4.75 V ~ 5.25 V,24mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Differential,1,4,40MHz,25ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,18mA,-,0°C ~ 70°C (TA),Through Hole,16-DIP (0.300"   7.62mm)
Master Reset,D-Type,Differential,1,4,40MHz,25ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,18mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,150MHz,6.8ns @ 3.3V   50pF,Positive Edge,24mA   24mA,1.65 V ~ 3.6 V,1.5µA,4pF,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Reset,D-Type,Non-Inverted,1,8,66MHz,25ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,40µA,5pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
