Transceiver,IEEE 1394,2/2,Half,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,64-TQFP Exposed Pad,64-HTQFP (10x10)
Transceiver,IEEE 1394,2/2,Half,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,48-TQFP Exposed Pad,48-HTQFP (7x7)
Transceiver,IEEE 1394,4/4,Half,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,64-TQFP Exposed Pad,64-HTQFP (10x10)
Transceiver,IEEE 1394,6/6,Half,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,80-TQFP Exposed Pad,80-HTQFP (12x12)
Transceiver,USB 2.0,-,-,-,-,1.6 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-QFN-EP (4x4)
Transceiver,USB 2.0,1/1,Half,50mV,-,1.8 V ~ 3.3 V,-40°C ~ 85°C,Surface Mount,32-VFQFN Exposed Pad,32-QFN (5x5)
Transceiver,USB 2.0,1/1,-,150mV,-,-,-40°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-QFN (4x4)
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS422   RS485,1/1,Full,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS422   RS485,1/1,Half,50mV,2.5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,RS422   RS485,1/1,Half,70mV,5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,RS422   RS485,1/1,Half,70mV,5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS422   RS485,1/1,Half,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS232,3/5,Full,1.2V,-,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS422   RS485,1/1,Half,70mV,5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Receiver,RS422   RS423,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS232,1/1,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SSOP (0.209"   5.30mm Width),16-SSOP
Transceiver,RS232,1/1,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.209"   5.30mm Width),16-SSOP
Transceiver,RS422   RS485,1/1,Half,80mV,20Mbps,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,8-VDFN Exposed Pad,8-SON (3x3)
Driver,-,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Driver,-,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Receiver,-,0/3,-,500mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver,-,4/4,Half,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Receiver,-,0/2,-,-,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SO
Driver,RS422   RS485,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Transceiver,IEEE 488,8/8,Half,650mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Receiver,RS232,0/4,-,-,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Receiver,-,0/2,-,500mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Driver,-,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Driver,-,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,RS232,2/2,Full,400mV,460Kbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver,RS232,2/2,Full,650mV,230kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,650mV,230kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,400mV,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,4/5,Full,650mV,230kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Transceiver,RS232,4/5,Full,650mV,230kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,6/10,Full,250mV,460Kbps,10.8 V ~ 13.2 V,-40°C ~ 85°C,Surface Mount,38-TFSOP (0.173"   4.40mm Width),38-TSSOP
Transceiver,RS232,2/2,Full,400mV,200kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,18-SOIC (0.295"   7.50mm Width),18-SOIC
Transceiver,RS422   RS485,1/1,Full,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Full,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Full,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS232,1/1,Full,400mV,460Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,12-WFQFN Exposed Pad   CSP,12-LFCSP-WQ (3x3)
Transceiver,RS232,2/2,Full,400mV,460Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,400mV,460Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,400mV,460Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver,RS232,3/3,Full,140mV,460Kbps,2.7 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-TSSOP (0.173"   4.40mm Width),24-TSSOP
Transceiver,RS422   RS485,1/1,Half,50mV,250kbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,250kbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Full,20mV,10Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,RS422   RS485,1/1,Half,70mV,5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-MSOP
Receiver,LVDS,0/2,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Driver,RS422   RS485,4/0,-,-,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,RS422   RS423,0/4,-,60mV,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423,0/4,-,60mV,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Receiver,RS422   RS423,0/4,-,60mV,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,RS422   RS423,0/4,-,50mV,-,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,-,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Receiver,-,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Driver,RS422   RS485,4/0,-,-,-,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Receiver,RS422   RS485,0/4,-,50mV,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS485,0/4,-,50mV,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Receiver,RS422   RS485,0/4,-,50mV,-,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS485,0/4,-,50mV,-,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver,-,4/4,Full,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,3/5,Full,-,200kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,RS232,3/5,Full,300mV,128Kbps,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,3/5,Full,1V,128Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Driver,RS232,4/0,-,-,-,4.5 V ~ 12.6 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Receiver,RS232,0/4,-,1V,-,5V   12V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Receiver,RS232,0/4,-,1V,-,5V   12V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-DIP
Driver,RS422   RS485,4/0,-,-,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423,0/4,-,60mV,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423,0/4,-,100mV,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423,0/4,-,140mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423,0/4,-,60mV,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-MDIP
Transceiver,RS422   RS485,2/2,Full,70mV,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,20Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Receiver,LVDS,0/4,-,-,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,LVDS,2/0,-,-,155.5Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,230kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS232,2/2,Full,300mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS422   RS485,1/1,Half,25mV,1Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,20mV,115Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,250kbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS232,5/5,Full,400mV,250KBd,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Transceiver,RS232,4/4,Full,400mV,250KBd,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Transceiver,RS232,3/5,Full,400mV,250KBd,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,3/5,Full,400mV,250KBd,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Transceiver,RS232,2/2,Full,400mV,250KBd,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,400mV,250KBd,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,400mV,250KBd,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,400mV,120KBd,4.5 V ~ 5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,2.5Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,45mV,250kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,60mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,100mV,16Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,25mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,25mV,500kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,RS422   RS485,1/1,Half,25mV,16Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS232,3/3,Full,650mV,230kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,2.5Mbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,28-DIP (0.600"   15.24mm),28-PDIP
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,28-DIP (0.600"   15.24mm),28-PDIP
Transceiver,RS422   RS485,1/1,Full,70mV,250kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-uMAX
Transceiver,RS422   RS485,1/1,Half,70mV,2.5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,2.5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
