Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,BiCDMOS,-,General Purpose,2.8A,8 V ~ 52 V,8 V ~ 52 V,-25°C ~ 125°C (TJ),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,-,1   1/2,General Purpose,750mA,4.75 V ~ 5.25 V,10 V ~ 46 V,-20°C ~ 150°C (TJ),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SO
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,DMOS,1   1/2   1/4   1/8   1/16,General Purpose,1.5A,4.75 V ~ 5.25 V,12 V ~ 40 V,150°C (TJ),Surface Mount,36-BSSOP (0.433"   11.00mm Width) Exposed Pad,PowerSO-36
Bipolar,-,Controller - Current Management,Pre-Driver - Half Bridge (4),Parallel,-,1   1/2,General Purpose,-,4.5 V ~ 7 V,-,0°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
-,Brushless DC (BLDC) Servo   Brushed DC Servo,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (4),Parallel,-,-,General Purpose,-,4.5 V ~ 5.5 V,-,-40°C ~ 85°C (TA),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Bi-CMOS   DMOS,-,General Purpose,3A,12 V ~ 55 V,12 V ~ 55 V,-40°C ~ 150°C (TJ),Through Hole,TO-220-11 (Formed Leads),TO-220-11
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Bi-CMOS   DMOS,1   1/2,General Purpose,3A,12 V ~ 55 V,12 V ~ 55 V,-40°C ~ 150°C (TJ),Through Hole,TO-220-15 Formed Leads,TO-220-15
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Bi-CMOS,-,General Purpose,1.4A,2.8 V ~ 5.5 V,1.5 V ~ 15 V,-30°C ~ 85°C (TA),Surface Mount,16-LSSOP (0.173"   4.40mm Width),16-SSOP
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),PWM,Bi-CMOS,-,General Purpose,3A,4.5 V ~ 36 V,4.5 V ~ 36 V,-40°C ~ 150°C (TJ),Surface Mount,12-WFDFN Exposed Pad,12-TDFN (3x3)
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Analog,-,-,General Purpose,-,10 V ~ 30 V,-,-40°C ~ 85°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Analog,-,-,General Purpose,-,10 V ~ 30 V,-,-40°C ~ 85°C (TA),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Analog,-,-,General Purpose,-,10 V ~ 30 V,-,-40°C ~ 85°C (TA),Through Hole,24-DIP (0.300"   7.62mm),24-PDIP
-,Brushless DC (BLDC),Controller - Speed,Pre-Driver - Half Bridge (3),Parallel,Bipolar,-,General Purpose,-,5.5 V ~ 9 V,-,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
-,Brushless DC (BLDC),Controller - Speed,Pre-Driver - Half Bridge (3),Parallel,Bipolar,-,General Purpose,-,5.5 V ~ 9 V,-,-40°C ~ 85°C (TA),Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Unipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Power MOSFET,1   1/2   1/4   1/8   1/16,General Purpose,3A,4.75 V ~ 5.25 V,10 V ~ 45 V,150°C (TJ),Through Hole,19-SSIP Formed Leads,19-SIP
Unipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Power MOSFET,1   1/2,General Purpose,2.2A,4.75 V ~ 5.25 V,10 V ~ 42 V,0°C ~ 105°C (TC),-,-,-
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,DMOS,1   1/2   1/4   1/8   1/16,General Purpose,1.5A,4.5 V ~ 5.5 V,13 V ~ 34 V,-40°C ~ 150°C (TJ),Surface Mount,36-BSSOP (0.346"   8.80mm Width) + 2 Heat Tabs,36-HSOP
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel,Bi-CMOS,-,Fan Controller,-,6 V ~ 10 V,-,-30°C ~ 115°C (TA),Surface Mount,24-SOP (0.236"   6.00mm Width),24-SSOP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Power MOSFET,1   1/2   1/4   1/8   1/16,General Purpose,3A,4.5 V ~ 5.5 V,4.5 V ~ 34 V,-30°C ~ 85°C (TA),Through Hole,25-SIP Formed Leads,25-HZIP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Power MOSFET,1   1/2   1/4   1/8,General Purpose,600mA,2.7 V ~ 5.5 V,2.5 V ~ 13.5 V,-20°C ~ 85°C (TA),Surface Mount,20-LSSOP (0.173"   4.40mm Width),20-SSOP
-,Brushless DC (BLDC),Controller - Speed,Pre-Driver - Low Side,I²C,-,-,Fan Controller,-,3 V ~ 5.5 V,-,-40°C ~ 85°C (TA),Surface Mount,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-MSOP
-,Universal,Triac Controller,Pre-Driver - Triac,Parallel,-,-,Appliance,-,15 V ~ 16 V,-,-10°C ~ 120°C (TJ),Through Hole,16-DIP (0.300"   7.62mm),16-DIP
-,Universal,Triac Controller,Pre-Driver - Triac,Parallel,-,-,Appliance,-,15 V ~ 16 V,-,-10°C ~ 120°C (TJ),Through Hole,16-DIP (0.300"   7.62mm),16-DIP
-,Brushless DC (BLDC),Driver - Fully Integrated   Control and Power Stage,Half Bridge (3),Parallel,Bipolar,-,General Purpose,1A,4 V ~ 18 V,1.7 V ~ 16 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Bipolar,1   1/2   1/4,General Purpose,800mA,4.5 V ~ 6.5 V,5 V ~ 50 V,-25°C ~ 125°C (TJ),Surface Mount,24-SOIC (0.295"   7.50mm Width),PG-DSO-24-13
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,DMOS,-,Automotive,5A,5.3 V ~ 40 V,5.3 V ~ 40 V,-40°C ~ 150°C (TJ),Surface Mount,TO-263-8   D²Pak (7 Leads + Tab)   TO-263CA,PG-TO263-7
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),SPI,DMOS,-,Automotive,6A,4.75 V ~ 5.5 V,4.4 V ~ 40 V,-40°C ~ 150°C (TJ),Surface Mount,20-SOIC (0.433"   11.00mm Width) Exposed Pad,PG-DSO-20-37
Bipolar,-,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (4),SPI   Step/Direction,Power MOSFET,1 ~ 1/256,General Purpose,-,3.3 V ~ 5.5 V,9 V ~ 60 V,-40°C ~ 125°C (TJ),Surface Mount,32-VFQFN Exposed Pad,32-QFN (5x5)
-,AC   Induction,Triac Controller,Pre-Driver - Triac,On/Off,Bipolar,-,General Purpose,-,14.5 V ~ 16.8 V,-,-10°C ~ 100°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel,Power MOSFET   Power Darlington,-,General Purpose,-,10 V ~ 18 V,-,0°C ~ 70°C (TJ),Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51)
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Bipolar,-,General Purpose,750mA,4.75 V ~ 5.25 V,10 V ~ 45 V,-20°C ~ 150°C (TJ),Surface Mount,44-LCC (J-Lead),44-PLCC (16.59x16.59)
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Bipolar,-,General Purpose,750mA,4.75 V ~ 5.25 V,10 V ~ 45 V,-40°C ~ 150°C (TJ),Surface Mount,44-LCC (J-Lead),44-PLCC (16.59x16.59)
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel   PWM,Power MOSFET,-,Automotive,30A,5.5 V ~ 36 V,5.5 V ~ 36 V,-40°C ~ 150°C (TJ),Surface Mount,30-MPSO   MultiPowerSO,MultiPowerSO-30
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel,Power MOSFET,-,Automotive,-,5.5 V ~ 50 V,-,-40°C ~ 150°C (TA),Surface Mount,48-LQFP Exposed Pad,48-LQFP-EP (7x7)
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel   PWM,Power MOSFET,-,General Purpose,-,18 V ~ 50 V,-,-20°C ~ 85°C (TA),Surface Mount,38-TFSOP (0.173"   4.40mm Width),38-TSSOP
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel   PWM,Power MOSFET,-,General Purpose,-,18 V ~ 50 V,-,-20°C ~ 85°C (TA),Surface Mount,38-TFSOP (0.173"   4.40mm Width),38-TSSOP
Bipolar,-,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (4),Logic,Power MOSFET,1   1/2   1/4   1/16,General Purpose,-,3 V ~ 5.5 V,12 V ~ 50 V,-20°C ~ 85°C (TA),Surface Mount,38-TFSOP (0.173"   4.40mm Width),38-TSSOP
Bipolar,-,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (4),Logic,Power MOSFET,1   1/2   1/4   1/16,General Purpose,-,3 V ~ 5.5 V,12 V ~ 50 V,-20°C ~ 85°C (TA),Surface Mount,38-TFSOP (0.173"   4.40mm Width),38-TSSOP
-,AC   Synchronous,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel,IGBT,-,General Purpose,-,12.5 V ~ 20 V,-,-20°C ~ 115°C (TA),Surface Mount,64-BQFP,64-MQFP (20x14)
-,Brushed DC,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (2),PWM,Power MOSFET,-,General Purpose,-,7.5 V ~ 60 V,-,-40°C ~ 150°C (TJ),Surface Mount,20-SOIC (0.295"   7.50mm Width),PG-DSO-20
