Direct Access Arrangement (DAA),GCI   PCM   SPI,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Direct Access Arrangement (DAA),GCI   PCM   SPI,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Subscriber Line Interface Concept (SLIC)   CODEC,PCM   Serial   SPI,1,3.13 V ~ 5.25 V,88mA,800mW,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width) Exposed Pad,16-SOIC
Subscriber Line Interface Concept (SLIC)   CODEC,GCI   PCM   SPI,1,3.13 V ~ 5.25 V,88mA,700mW,0°C ~ 70°C,Surface Mount,38-VFQFN Exposed Pad,38-QFN (5x7)
Low Voltage Transmission,-,1,3.4V,900µA,454mW,-25°C ~ 75°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
ISDN,TDM,1,5V,-,-,-,Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51)
Line Interface Unit (LIU),LIU,7,3.14 V ~ 3.47 V,-,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-TQFP (14x14)
Subscriber Line Interface Concept (SLIC)   CODEC,PCM   Serial   SPI,1,3.13 V ~ 5.25 V,88mA,800mW,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width) Exposed Pad,16-SOIC
DTMF Transceiver,-,1,4.75 V ~ 5.25 V,7mA,-,-40°C ~ 85°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Data Access Arrangement (DAA),-,1,3 V ~ 5.5 V,10mA,1W,0°C ~ 85°C,Surface Mount,32-SOIC (0.295"   7.50mm Width),32-SOIC
Data Access Arrangement (DAA),-,1,3 V ~ 5.5 V,9mA,1W,-40°C ~ 85°C,Surface Mount,32-SOIC (0.295"   7.50mm Width),32-SOIC
Phone Line Monitor (PLM),-,1,3 V ~ 5.5 V,10mA,300mW,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Phone Line Monitor with Detectors (PLMD),-,1,3 V ~ 5.5 V,1.72mA,50mW,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-SOP
Line Card Access Switch,-,1,4.5 V ~ 5.5 V,700µA,10.5W,-40°C ~ 110°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Single-Chip Transceiver,E1   HDLC,1,3.14 V ~ 3.47 V,75mA,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-LQFP (14x14)
Elastic Store,PCM,1,4.5 V ~ 5.5 V,9mA,-,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
